timestamp,left_x,left_y,right_x,right_y,gaze_x,gaze_y,blink
2025-05-09 02:08:34.253115,,,,,,,1
2025-05-09 02:08:34.313876,,,,,,,1
2025-05-09 02:08:34.350736,,,,,,,1
2025-05-09 02:08:34.409239,309.0,267.0,364.0,279.0,336.0,273.0,0
2025-05-09 02:08:34.469267,308.0,267.0,364.0,278.0,336.0,272.0,0
2025-05-09 02:08:34.479747,307.0,269.0,377.0,284.0,338.0,273.0,0
2025-05-09 02:08:34.511719,308.0,268.0,377.0,284.0,339.0,274.0,0
2025-05-09 02:08:34.549329,314.0,274.0,379.0,289.0,340.0,275.0,0
2025-05-09 02:08:34.580453,313.0,274.0,380.0,290.0,342.0,277.0,0
2025-05-09 02:08:34.597109,318.0,275.0,386.0,290.0,345.0,279.0,0
2025-05-09 02:08:34.651152,322.0,277.0,382.0,292.0,347.0,281.0,0
2025-05-09 02:08:34.675948,322.0,277.0,382.0,288.0,349.0,282.0,0
2025-05-09 02:08:34.699499,325.0,276.0,398.0,290.0,352.0,282.0,0
2025-05-09 02:08:34.728967,325.0,276.0,398.0,290.0,355.0,282.0,0
2025-05-09 02:08:34.765915,327.0,277.0,396.0,290.0,357.0,283.0,0
2025-05-09 02:08:34.790017,329.0,277.0,397.0,291.0,359.0,283.0,0
2025-05-09 02:08:34.828400,327.0,276.0,400.0,289.0,361.0,283.0,0
2025-05-09 02:08:34.865227,327.0,276.0,400.0,289.0,362.0,282.0,0
2025-05-09 02:08:34.887735,327.0,275.0,396.0,287.0,362.0,282.0,0
2025-05-09 02:08:34.912656,327.0,275.0,396.0,286.0,362.0,281.0,0
2025-05-09 02:08:34.939845,328.0,275.0,396.0,286.0,362.0,281.0,0
2025-05-09 02:08:35.011281,329.0,274.0,403.0,287.0,362.0,280.0,0
2025-05-09 02:08:35.043706,329.0,274.0,403.0,286.0,363.0,280.0,0
2025-05-09 02:08:35.075618,326.0,274.0,402.0,285.0,363.0,279.0,0
2025-05-09 02:08:35.093210,329.0,273.0,402.0,285.0,364.0,279.0,0
2025-05-09 02:08:35.114253,328.0,273.0,403.0,285.0,365.0,279.0,0
2025-05-09 02:08:35.147413,328.0,273.0,403.0,285.0,365.0,279.0,0
2025-05-09 02:08:35.175881,329.0,268.0,398.0,282.0,364.0,278.0,0
2025-05-09 02:08:35.242650,329.0,271.0,406.0,282.0,365.0,277.0,0
2025-05-09 02:08:35.262918,329.0,271.0,406.0,282.0,365.0,277.0,0
2025-05-09 02:08:35.295844,330.0,270.0,400.0,280.0,365.0,276.0,0
